SEED,DIST TRAVELLED RANDOM,TIME TAKEN RANDOM,DIST TRAVELLED HEURISTIC,TIME TAKEN HEURISTIC,DIST TRAVELLED OPTIMAL,TIME TAKEN OPTIMAL,NO OF CROSS AISLES,NO OF PICKERS,NO ROWS COLS,NO SKUS
1697022237.281047,7426,5290.0,4318,2825.0,3364,2385.0,8,4,9,40
1697022239.352234,5758,7522.5,2880,3835.0,2916,3940.0,8,2,9,40
1697022242.115462,6026,15065.0,1972,4930.0,2480,6200.0,8,1,9,40
1697022245.798417,6296,4815.0,4036,2775.0,3616,2495.0,8,4,9,40
1697022247.704501,6359,6822.5,3400,3285.0,3168,3115.0,8,3,9,40
1697022249.501846,5138,7777.5,2942,3865.0,4102,6580.0,8,2,9,40
1697022251.747428,7275,4905.0,4480,2935.0,3678,2595.0,8,4,9,40
1697022253.515238,6239,7275.0,3636,3190.0,3096,3490.0,8,3,9,40
1697022255.467819,6667,5840.0,4128,2900.0,3829,2965.0,8,4,9,40
1697022257.580133,5379,7105.0,2994,3970.0,2989,4257.5,8,2,9,40
1697022260.114474,6089,5597.5,3588,3215.0,3066,2722.5,8,3,9,40
1697022262.278539,8118,6320.0,4398,3040.0,3733,2750.0,8,4,9,40
1697022264.38769,6055,4460.0,4192,2765.0,3387,2495.0,8,4,9,40
1697022266.184053,6071,5835.0,3428,3255.0,3022,3655.0,8,3,9,40
1697022268.184975,6456,8822.5,2768,3715.0,3012,4235.0,8,2,9,40
1697022270.730052,5828,4317.5,4110,2815.0,3171,2090.0,8,4,9,40
1697022272.537389,5624,8030.0,2886,3905.0,2828,4000.0,8,2,9,40
1697022275.18142,6799,6262.5,3378,3135.0,3690,3780.0,8,3,9,40
1697022277.667842,6289,9227.5,2826,3655.0,3456,4325.0,8,2,9,40
1697022280.705792,7114,5810.0,3984,2720.0,3169,2070.0,8,4,9,40
1697022282.40836,5543,4955.0,3534,3040.0,2859,2710.0,8,3,9,40
1697022284.382895,6995,7975.0,3372,2975.0,4058,5125.0,8,3,9,40
1697022286.35449,6157,4890.0,3960,2865.0,3223,2325.0,8,4,9,40
1697022288.079769,6174,15435.0,2220,5550.0,3080,7700.0,8,1,9,40
1697022292.676985,5924,4125.0,4048,2735.0,3092,2370.0,8,4,9,40
1697022294.417885,5765,7862.5,2856,3710.0,2877,3642.5,8,2,9,40
1697022296.527585,5267,13167.5,2102,5255.0,2536,6340.0,8,1,9,40
1697022299.304454,6299,5695.0,3596,3295.0,3296,3055.0,8,3,9,40
1697022301.230133,6179,8545.0,3014,3955.0,2817,3745.0,8,2,9,40
1697022303.328368,7200,18000.0,2270,5675.0,3116,7790.0,8,1,9,40
1697022307.684632,4756,6355.0,2874,3730.0,2976,3845.0,8,2,9,40
1697022309.658687,7491,4870.0,4468,3020.0,2889,2027.5,8,4,9,40
1697022311.331386,6682,8660.0,2968,3955.0,2970,3860.0,8,2,9,40
1697022313.534562,4609,11522.5,2076,5190.0,2766,6915.0,8,1,9,40
1697022317.221973,6269,7860.0,2716,3575.0,2822,3645.0,8,2,9,40
1697022319.438169,6154,8420.0,2762,3500.0,2784,3525.0,8,2,9,40
1697022321.918183,6043,8885.0,3170,4160.0,3148,4205.0,8,2,9,40
1697022324.435007,6239,4190.0,4030,2710.0,3730,2790.0,8,4,9,40
1697022326.181939,7014,6105.0,3964,2590.0,2942,2070.0,8,4,9,40
1697022328.107803,7936,6875.0,4000,2670.0,5212,4087.5,8,4,9,40
1697022330.091024,6103,8627.5,2972,3795.0,2735,3595.0,8,2,9,40
1697022332.431156,5278,13195.0,1998,4995.0,2812,7030.0,8,1,9,40
1697022336.297726,6337,5430.0,3484,2995.0,3298,3165.0,8,3,9,40
1697022338.075401,6108,15270.0,1948,4870.0,2812,7030.0,8,1,9,40
1697022342.272395,6825,4955.0,4224,2835.0,3056,2200.0,8,4,9,40
1697022343.971207,6378,15945.0,2172,5430.0,2862,7155.0,8,1,9,40
1697022347.939789,5451,13627.5,2010,5025.0,3032,7580.0,8,1,9,40
1697022351.836662,6209,8217.5,2934,3840.0,4588,7325.0,8,2,9,40
1697022354.41751,7471,5465.0,4060,2660.0,3821,2770.0,8,4,9,40
1697022356.398008,6963,17407.5,2300,5750.0,2533,6332.5,8,1,9,40
1697022360.122559,6675,8882.5,2924,3755.0,4813,7480.0,8,2,9,40
1697022362.653444,5455,13637.5,2080,5200.0,2710,6775.0,8,1,9,40
